Response_ID,Age,Gender,Income,Occupation,Gym_Days_Per_Week,Workout_Type,Gym_Duration_Years,Hist_Foot_Infection,Forgetting_Freq,Primary_Pain_Point,Prev_Foot_Care,Hygiene_Score,Skin_Sensitivity,Imp_Material,Imp_Antibacterial,Imp_Antimicrobial,Imp_Price,Imp_Lifestyle_Fit,Imp_Brand,Monthly_Activewear_Spend,WTP_Disposable_Socks,Max_WTP_Per_Pair,Subscription_Interest,Eco_Trend_Score,Vendor_Trust_Score,QC_Score,Preferred_Pack,Primary_Purchase_Driver,Brand_Stigma,Open_Ended_Reason,Owns_Gym_Bag,Owns_Shaker_Bottle,Buys_Sweat_Towel,Buys_Body_Wipes,Buys_Deodorant_Sticks,Interested_Disposable_Underwear,Uses_Foot_Powder_Insert,Buys_Blister_Plasters,Uses_Muscle_Recovery_Balm,Products_Purchased_Together,Recency_Days,Frequency_Purchases_6M,Monetary_Spend_6M
1,27,Male,30k-50k,Blue_Collar,4,Weights,3,No,4,Blisters,0,4,0,3,4,3,1,3,2,117.55,0,Under_15,2,1,2,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,Yes,No,No,Yes,No,Yes,Shaker_Bottle; Body_Wipes; Foot_Powder_Insert; Muscle_Recovery_Balm,60,3,102.05
2,30,Male,100k+,Corporate,3,Cardio,2,No,5,Odor,0,6,0,4,3,4,5,2,3,229.7,1,15-25,2,2,4,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert,43,1,121.21
3,18,Non-binary,Under_30k,Student,5,Yoga,2,No,2,Tightness,1,10,Sensitive,5,3,4,4,4,5,302.45,1,15-25,4,5,2,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,Yes,Yes,Yes,No,No,No,No,Disposable_Socks; Gym_Bag; Sweat_Towel; Body_Wipes; Deodorant_Sticks,35,6,288.25
4,21,Male,Under_30k,Student,4,Yoga,2,Yes,3,Tightness,1,6,Sensitive,4,3,5,4,5,4,221.2,1,15-25,3,5,3,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,Yes,No,Yes,No,No,Yes,Yes,No,Disposable_Socks; Shaker_Bottle; Body_Wipes; Foot_Powder_Insert; Blister_Plasters,44,4,191.9
5,17,Male,100k+,Corporate,3,Cardio,2,Yes,4,Odor,0,8,0,3,3,5,5,3,2,200.77,1,25-35,1,3,4,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Sweat_Towel; Body_Wipes; Foot_Powder_Insert; Blister_Plasters,42,2,171.66
6,29,Female,100k+,Corporate,2,Cardio,2,Yes,4,Odor,0,5,0,4,3,5,5,3,2,218.57,1,25-35,2,3,4,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Disposable_Socks; Gym_Bag; Body_Wipes; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,51,3,222.46
7,23,Male,30k-50k,Corporate,5,Weights,3,No,3,Blisters,0,4,0,3,4,2,1,3,1,134.38,0,Under_15,2,1,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Gym_Bag; Shaker_Bottle; Body_Wipes; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,43,1,67.16
8,34,Female,50k-100k,Corporate,4,Yoga,2,Yes,2,Blisters,Yes,7,Normal,5,3,3,4,4,4,366.92,1,35+,3,3,3,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,No,No,Yes,No,Yes,No,Yes,No,Disposable_Socks; Gym_Bag; Body_Wipes; Disposable_Underwear; Blister_Plasters,27,4,331.21
9,18,Male,Under_30k,Student,3,Pilates,2,Yes,2,Tightness,1,7,Normal,5,4,5,3,4,4,303.47,1,15-25,5,4,3,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,Yes,No,No,Yes,No,Yes,No,No,Disposable_Socks; Shaker_Bottle; Deodorant_Sticks; Foot_Powder_Insert,49,5,258.14
10,25,Male,30k-50k,Student,4,Weights,3,No,4,Blisters,0,5,0,3,4,2,2,4,1,63.91,0,Under_15,1,1,2,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Gym_Bag; Shaker_Bottle; Body_Wipes; Disposable_Underwear; Blister_Plasters; Muscle_Recovery_Balm,54,1,26.48
